타임스탬프,1. 종합비타민 등 영양제를 섭취한 경험이 있습니까?,1-1. 섭취하신 영양제 종류를 모두 골라주세요.,2. 종합비타민 등 영양제를 구매한 경험이 있습니까?,"3. 비타민B군 영양제를 섭취한 경험이 있습니까? (아로나민골드, 비맥스메타, 엑세라민비, 임팩타민, 벤포벨 등)",4. 비타민B군 영양제를 구매한 경험이 있습니까?,5. 어떤 상황에서 특히 건강을 잘 챙겨야겠다고 느끼십니까? (답변 필수는 아니지만 연구에 많은 도움이 됩니다.),6. 어떤 상황에서 특히 피로하다고 느끼십니까? (답변 필수는 아니지만 연구에 많은 도움이 됩니다.),1. 향후 비타민B군 영양제를 구매할 의향이 있으십니까?,1-1. 구매할 의향이 있다면 그 이유는 무엇입니까? (중복체크),1-2. 구매할 의향이 없다면 그 이유는 무엇입니까? (중복체크),2. 아로나민골드/아로나민골드프리미엄에 대해 알고 계십니까?,3. 아로나민골드/아로나민골드프리미엄 제품을 구매한 경험이 있습니까?,4. 향후 아로나민골드/아로나민골드프리미엄을 구매할 의향이 있으십니까?,5. 비맥스메타/비맥스액티브/엑세라민비/임팩타민프리미엄/벤포벨 제품을 구매한 경험이 있습니까?,"6. 비타민B군 영양제를 섭취한 경험이 있는 경우, 효과가 있다고 느끼셨습니까?","7. 비타민B군 영양제를 섭취한 경험이 있는 경우, 부작용이 있으셨습니까? (있는 경우 증상을 기타에 적어주세요)",1. 나는 비타민B군 영양제에 관심이 있다,2. 나에게 비타민B군 영양제는 중요하다,3. 나에게 비타민B군 영양제는 가치가 있다,4. 나에게 비타민B군 영양제는 유용하다,5. 내가 비타민B군 영양제를 섭취했다면 해당 영양제는 (누가) 구매했을 것이다,6. 내가 비타민B군 영양제를 구매한다면 (누가) 섭취하는 것으로 상정하고 구매할 것이다,1. 비타민 등을 구매할 때 중요하게 고려하는 사항은 무엇입니까? (중복허용),2. 비타민B군 영양제의 가격은 제품을 섭취/구매하는 데 있어 중요하게 작용한다,3. 비타민B군 영양제의 적정 가격 수준은 얼마라고 생각하십니까?,4. 비타민B군 영양제의 성분 및 함량은 제품을 섭취/구매하는 데 있어 중요하게 작용한다,5. 비타민B군 영양제의 브랜드 인지도 및 이미지는 제품을 섭취/구매하는 데 있어 중요하게 작용한다,6. 비타민B군 영양제를 약국에서만 구매할 수 있는 경우 구매할 의향이 있다 (온라인몰 등 불가),7. 비타민B군 영양제를 해외직구로 구매할 수 있는 경우 구매할 의향이 있다 ,1. 평소 일상적으로 사용하시는 항목을 모두 골라주세요,2. 평소 원하는 정보를 얻기 위해서 사용하시는 정보원을 모두 골라주세요,3. 나는 평소 제품을 구매할 때 제품의 특징을 면밀히 살펴보고 구매한다,4. 나는 평소 제품을 구매할 때 다른 제품과 비교해보고 구매한다,1. 나는 건강에 대해 관심이 많다,2. 나는 식사와 영양에 관심이 많다,3. 나는 식품을 구매할 때 포장지 뒷면의 영양성분표시 부분을 확인한다,4. 평소 운동을 얼마나 자주 하십니까? (30분 이상 숨 차는 강도),5. 본인이 건강을 위해 중요하다고 생각하고 실천 중인 건강관리 방법은 무엇입니까?,1. 나는 건강하다고 생각한다,2. 하루 평균 수면시간은 어떻게 되십니까?,3. 음주를 얼마나 자주 하십니까?,4. 커피를 얼마나 자주 마십니까?,5. 담배를 피우십니까?,5-1. 하루 평균 흡연량이 얼마나 되십니까?,"6. 현재 앓고 있는 질병이 있거나, 과거에 질병을 앓은 적이 있습니까?",1. 본인의 성별은?,2. 본인의 나이는?,3. 결혼 여부,4. 가구 수,5. 최종학력,6. 직업,7. 소득 수준 (주부의 경우 가구 소득 수준),
2022/06/07 4:25:36 오후 GMT+9,예 (1-1번으로 이동),종합비타민,예,예,아니오,"네
","운동
",예 (1-1번으로 이동),질병의 예방 및 치료를 위해,균형잡힌 식생활 만으로 충분하다,예,예,예,아니오,예,아니오,5,5,5,5,5,5,제품의 표지 등에 표시된 제품 정보,5,3~4만원 미만,5,5,5,5,유튜브;인스타그램;페이스북;네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청;신문/뉴스포털,유튜브;인스타그램;페이스북;네이버카페,5,5,5,5,5,주 1~2회,규칙적인 운동;좋은 식습관;규칙적인 생활,3,5~6시간,한달에 3~4회,하루에 2잔 이상,아니오 (6번으로 이동),,,남자,50대,기혼,3~5인 가구,대학교 졸업,사무직,월 700만원 이상,
2022/06/07 4:26:25 오후 GMT+9,예 (1-1번으로 이동),"비타민C;비타민B;유산균;루테인, 지아잔틴 등 (눈 건강)",예,예,예,,,예 (1-1번으로 이동),피로회복을 위해,,아니오,아니오,아니오,아니오,예,아니오,4,3,4,4,3,2,주변의 효과와 경험담 소개;제조사(상표) 신뢰도;적정 가격,4,2~3만원 미만,4,4,2,4,유튜브;신문/뉴스포털,"포털사이트 (구글, 네이버, 다음 등);지식인;지인",4,4,5,4,4,주 1~2회,좋은 식습관;규칙적인 생활,3,5~6시간,한달에 1~2회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,30대,미혼,3~5인 가구,대학교 졸업,학생,소득 없음,
2022/06/07 4:27:20 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민B;밀크씨슬, 우루사 등 (간 건강)",예,예,예,아픈 후,"잠을 잘 못잤을 때, 장시간 운전시",아니오 (1-2번으로 이동),,효과가 없다,예,예,아니오,아니오,예,아니오,3,1,1,1,1,1,제조사(상표) 신뢰도;원하는 성분과 그 함량,5,2~3만원 미만,5,5,2,2,유튜브;네이버카페,"유튜브;포털사이트 (구글, 네이버, 다음 등);네이버카페;TV시청",5,5,5,5,3,주 1~2회,좋은 식습관;규칙적인 생활,4,5~6시간,한달에 3~4회,하루에 1잔,아니오 (6번으로 이동),,있다,남자,50대,기혼,3~5인 가구,대학교 졸업,사무직,월 500~600만원 미만,
2022/06/07 4:28:40 오후 GMT+9,예 (1-1번으로 이동),종합비타민;비타민C;비타민B;오메가3,예,예,예,당뇨병,과다운동,예 (1-1번으로 이동),일상의 활력 충전을 위해,,예,아니오,아니오,아니오,아니오,아니오,4,4,4,4,5,4,주변의 효과와 경험담 소개,4,3~4만원 미만,4,4,3,4,유튜브;네이버카페;TV시청;신문/뉴스포털,"유튜브;포털사이트 (구글, 네이버, 다음 등);네이버카페;TV시청;신문/뉴스포털",4,4,4,4,5,주 3~5회,규칙적인 운동;규칙적인 생활,3,5~6시간,한달에 3~4회,하루에 1잔,아니오 (6번으로 이동),,있다,남자,50대,기혼,3~5인 가구,대학교 졸업,사무직,월 700만원 이상,
2022/06/07 4:29:06 오후 GMT+9,예 (1-1번으로 이동),종합비타민;비타민C;비타민B;유산균,예,예,예,구내염이 났을 때,잠을 충분히 못잤을 때,예 (1-1번으로 이동),피로회복을 위해,,예,아니오,예,예,예,아니오,4,5,5,5,4,1,"제조사(상표) 신뢰도;원하는 성분과 그 함량;적정 가격;제품의 형태(알약, 분말, 액상, 발포형)",4,2~3만원 미만,4,4,4,4,유튜브;인스타그램;네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);지식인;TV시청;신문/뉴스포털,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등);네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청;신문/뉴스포털",4,5,4,4,4,주 1~2회,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",4,6~8시간,한달에 3~4회,하루에 2잔 이상,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 졸업,취준생,소득 없음,
2022/06/07 4:29:11 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;비타민B;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;루테인, 지아잔틴 등 (눈 건강);밀크씨슬, 우루사 등 (간 건강)",예,예,예,코로나 휴유증 오래갈때/어딘가가 안좋아진다고 느낄때 ,잠을잘못잘때/몸이무거울때/의욕이없을때 ,예 (1-1번으로 이동),피로회복을 위해;질병의 예방 및 치료를 위해;일상의 활력 충전을 위해;의사/약사 등 전문가의 권유에 의해,,예,아니오,아니오,예,아니오,아니오,4,5,5,5,1,1,제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;적정 가격,4,2~3만원 미만,5,3,1,5,유튜브;인스타그램;네이버카페,"유튜브;포털사이트 (구글, 네이버, 다음 등);네이버카페",4,5,5,5,5,주 1~2회,"규칙적인 운동;비타민, 무기질 등 영양제 섭취",2,5시간 미만,한달에 1~2회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,30대,미혼,3~5인 가구,대학교 졸업,학생,소득 없음,
2022/06/07 4:29:22 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;비타민B;오메가3;유산균;밀크씨슬, 우루사 등 (간 건강)",예,예,예,몸이,내 몸이 전과 다를때~~~,잘 모르겠음 (2번으로 이동),,,예,아니오,아니오,아니오,아니오,아니오,2,2,2,2,2,5,제조사(상표) 신뢰도,4,,5,5,3,2,네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);지식인;TV시청;라디오 청취;신문/뉴스포털,"포털사이트 (구글, 네이버, 다음 등);네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);지식인;신문/뉴스포털",4,5,3,3,3,매일한다,규칙적인 운동;좋은 식습관;규칙적인 생활;정기적인 건강검진,4,6~8시간,일주일에 2~3회,하루에 2잔 이상,아니오 (6번으로 이동),,없다,남자,50대,기혼,3~5인 가구,고졸이하,생산직,월 200~300만원 미만,
2022/06/07 4:31:33 오후 GMT+9,예 (1-1번으로 이동),비타민D;비타민B;유산균,예,예,예,,,아니오 (1-2번으로 이동),,효과가 없다;균형잡힌 식생활 만으로 충분하다,예,아니오,아니오,예,아니오,아니오,2,2,2,2,5,5,원하는 성분과 그 함량,3,2~3만원 미만,4,3,1,1,유튜브,유튜브;네이버카페,4,4,3,3,4,거의 안한다,특별히 신경쓰지 않는다,3,6~8시간,전혀 마시지 않는다,하루에 2잔 이상,아니오 (6번으로 이동),,없다,여자,30대,,,대학교 졸업,학생,,
2022/06/07 4:33:11 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민D;유산균;루테인, 지아잔틴 등 (눈 건강);밀크씨슬, 우루사 등 (간 건강)",예,아니오,아니오,잠에서 깨도 깨운하지 않을 때,아침 기싱 직후,예 (1-1번으로 이동),피로회복을 위해;건강 유지를 위해,,예,아니오,예,아니오,,,4,4,3,3,1,1,제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;적정 가격,5,2~3만원 미만,5,5,5,1,유튜브;인스타그램,유튜브,5,5,4,2,4,주 3~5회,규칙적인 운동;좋은 식습관;정기적인 건강검진,4,6~8시간,일주일에 2~3회,하루에 2잔 이상,아니오 (6번으로 이동),,없다,남자,20대,미혼,1인 가구,대학교 졸업,전문직,월 200~300만원 미만,
2022/06/07 4:34:03 오후 GMT+9,예 (1-1번으로 이동),유산균,예,아니오,아니오,운동할 때,"밤을 샌 다음날,
친구를 만난 다음날",잘 모르겠음 (2번으로 이동),,,예,예,예,아니오,아니오,제가 먹으려고 구매한게 아니라 부모님이 필요하셔서,4,5,4,4,5,4,제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;적정 가격,5,2~3만원 미만,5,5,3,1,유튜브;인스타그램,유튜브;인스타그램,3,4,4,3,2,주 1~2회,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취;정기적인 건강검진",3,5~6시간,한달에 1~2회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 재학,학생,월 100만원 미만,
2022/06/07 4:34:30 오후 GMT+9,예 (1-1번으로 이동),"오메가3;루테인, 지아잔틴 등 (눈 건강)",예,아니오,아니오,아파서 해야 할 일을 못할때,수면시간이 부족할때,잘 모르겠음 (2번으로 이동),,,아니오,아니오,아니오,아니오,,,1,1,2,2,4,4,주변의 효과와 경험담 소개,2,2~3만원 미만,5,4,3,2,유튜브;인스타그램;TV시청,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등);지식인;지인",2,2,4,4,4,주 3~5회,규칙적인 운동,5,6~8시간,한달에 1~2회,한달에 1~3잔,아니오 (6번으로 이동),,있다,남자,20대,미혼,3~5인 가구,대학교 재학,학생,소득 없음,
2022/06/07 4:35:38 오후 GMT+9,예 (1-1번으로 이동),종합비타민;비타민D;비타민B;오메가3,예,예,예,피로감이 느껴질때,숙면을 못할때,예 (1-1번으로 이동),피로회복을 위해;일상의 활력 충전을 위해,,예,아니오,아니오,아니오,예,아니오,5,4,4,4,5,1,"적정 가격;판매처(온라인, 약국, 건강기능식품 매장, 해외직구 등)",5,2~3만원 미만,4,1,1,5,유튜브;네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청,"유튜브;포털사이트 (구글, 네이버, 다음 등);네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외)",5,4,3,3,4,주 1~2회,규칙적인 생활,4,6~8시간,한달에 1~2회,하루에 2잔 이상,아니오 (6번으로 이동),,없다,남자,30대,기혼,3~5인 가구,대학교 졸업,사무직,월 300~400만원 미만,
2022/06/07 4:43:31 오후 GMT+9,예 (1-1번으로 이동),"비타민C;무기질 (마그네슘, 칼슘, 철분 등);오메가3;루테인, 지아잔틴 등 (눈 건강);밀크씨슬, 우루사 등 (간 건강)",예,예,예,남들도 섭취하니깐 나도 먹어보는거지요,과음 했을때 간의피로 우루사 즐겨 먹습니다,예 (1-1번으로 이동),피로회복을 위해;질병의 예방 및 치료를 위해;건강 유지를 위해,,예,예,예,예,예,아니오,5,5,5,5,5,1,"제조사(상표) 신뢰도;적정 가격;판매처(온라인, 약국, 건강기능식품 매장, 해외직구 등)",5,4~5만원 미만,5,5,5,5,유튜브;TV시청;라디오 청취;신문/뉴스포털,TV시청;라디오 청취;신문/뉴스포털,5,5,5,5,5,주 3~5회,"비타민, 무기질 등 영양제 섭취;정기적인 건강검진",4,6~8시간,일주일에 4~5회,하루에 1잔,예 (5-1번으로 이동),10~20개비 미만,없다,남자,50대,기혼,2인 가구,대학교 졸업,사무직,월 600~700만원 미만,
2022/06/07 4:43:32 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;밀크씨슬, 우루사 등 (간 건강)",예,아니오,아니오,피로가 풀리지않고 무기력함이 지속될 때,"신체 활동 (운동,외부활동 등) 후에 회복하지 못할 때",잘 모르겠음 (2번으로 이동),,사놓고 잘 먹지 않는다.,아니오,아니오,아니오,아니오,,,1,1,1,1,5,5,제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량,4,3~4만원 미만,5,4,5,,유튜브;인스타그램,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등);지인",5,5,5,5,5,주 3~5회,규칙적인 운동;좋은 식습관;규칙적인 생활,3,5~6시간,한달에 3~4회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,30대,미혼,3~5인 가구,대학교 졸업,자영업,월 100~200만원 미만,
2022/06/07 4:43:43 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;루테인, 지아잔틴 등 (눈 건강)",예,예,예,피곤함을 느끼고 빠른 피로회복을 원할때.,운동이나  스트레스를 받았을때,예 (1-1번으로 이동),피로회복을 위해;질병의 예방 및 치료를 위해;의사/약사 등 전문가의 권유에 의해,가격이 비싸다;부정적인 후기 때문에 우려가 된다,예,예,예,예,예,아니오,5,4,4,3,5,1,"주변의 효과와 경험담 소개;제조사(상표) 신뢰도;판매처(온라인, 약국, 건강기능식품 매장, 해외직구 등)",5,2~3만원 미만,5,5,5,5,유튜브;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청,유튜브;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청;신문/뉴스포털,5,5,5,5,5,주 1~2회,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",5,5~6시간,일주일에 2~3회,하루에 2잔 이상,아니오 (6번으로 이동),,있다,남자,50대,기혼,3~5인 가구,대학교 졸업,사무직,월 700만원 이상,
2022/06/07 4:47:53 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;루테인, 지아잔틴 등 (눈 건강)",예,아니오,아니오,체력이 떨어지는 것 같은 느낌이 들 때.. 밤샘이 너무 힘들 때..,,잘 모르겠음 (2번으로 이동),,,아니오,아니오,아니오,아니오,,,2,2,1,1,5,3,"주변의 효과와 경험담 소개;원하는 성분과 그 함량;적정 가격;제품의 형태(알약, 분말, 액상, 발포형)",4,3~4만원 미만,5,4,2,2,유튜브;인스타그램;페이스북;트위터;네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);지식인;TV시청;라디오 청취;신문/뉴스포털,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등);지식인;신문/뉴스포털;지인",4,3,4,4,2,주 3~5회,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",4,6~8시간,일주일에 4~5회,전혀 마시지 않는다,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 졸업,프리랜서,월 100~200만원 미만,
2022/06/07 4:48:38 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;무기질 (마그네슘, 칼슘, 철분 등);유산균;루테인, 지아잔틴 등 (눈 건강)",예,아니오,아니오,몸 건강이 악화되었을 때 건강을 잘 챙겨야겠다고 느낍니다.,모든 순간...,예 (1-1번으로 이동),피로회복을 위해;질병의 예방 및 치료를 위해;건강 유지를 위해,,아니오,아니오,예,아니오,,,3,3,3,,4,4,원하는 성분과 그 함량;적정 가격,4,2~3만원 미만,5,4,3,4,유튜브;인스타그램;페이스북;트위터;TV시청,"유튜브;인스타그램;페이스북;트위터;포털사이트 (구글, 네이버, 다음 등);네이버카페;지식인;TV시청;신문/뉴스포털;지인",4,5,4,4,5,주 1~2회,"규칙적인 운동;좋은 식습관;비타민, 무기질 등 영양제 섭취;정기적인 건강검진",3,6~8시간,한달에 1~2회,전혀 마시지 않는다,아니오 (6번으로 이동),,있다,여자,20대,미혼,3~5인 가구,대학교 졸업,학생,월 100만원 미만,
2022/06/07 4:51:58 오후 GMT+9,예 (1-1번으로 이동),종합비타민;비타민D,예,예,아니오,종합검진 결과 비타민D 섭취 권유,,잘 모르겠음 (2번으로 이동),,건강하기 때문에 필요성을 느끼지 못한다,예,예,아니오,아니오,아니오,,3,2,2,2,1,1,제조사(상표) 신뢰도;원하는 성분과 그 함량;적정 가격,3,3~4만원 미만,4,4,3,2,유튜브;인스타그램;페이스북;네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청,"유튜브;인스타그램;페이스북;포털사이트 (구글, 네이버, 다음 등);네이버카페",4,4,3,3,2,거의 안한다,규칙적인 운동;좋은 식습관;규칙적인 생활,3,5~6시간,한달에 1~2회,하루에 2잔 이상,예 (5-1번으로 이동),10~20개비 미만,있다,남자,50대,기혼,3~5인 가구,대학교 졸업,사무직,월 700만원 이상,
2022/06/07 4:54:03 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;오메가3;유산균;루테인, 지아잔틴 등 (눈 건강);밀크씨슬, 우루사 등 (간 건강)",예,아니오,아니오,나이가 들면서 음식만으로 확보하기 어려운 것이라는 생각에,,잘 모르겠음 (2번으로 이동),,,예,아니오,예,아니오,아니오,아니오,4,4,4,4,3,1,제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;적정 가격,3,1~2만원 미만,4,5,3,4,TV시청;신문/뉴스포털,"포털사이트 (구글, 네이버, 다음 등);지식인",4,4,4,4,4,주 1~2회,"규칙적인 운동;비타민, 무기질 등 영양제 섭취;정기적인 건강검진",3,5~6시간,한달에 1~2회,하루에 2잔 이상,아니오 (6번으로 이동),,없다,남자,50대,기혼,3~5인 가구,대학교 졸업,자영업,,
2022/06/07 4:54:20 오후 GMT+9,예 (1-1번으로 이동),비타민C;오메가3,예,예,예,체력저하,수면부족시,예 (1-1번으로 이동),피로회복을 위해,,예,예,예,아니오,예,아니오,3,3,4,2,3,2,제조사(상표) 신뢰도,5,4~5만원 미만,4,3,4,3,유튜브;페이스북;트위터;네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);지식인;TV시청;신문/뉴스포털,유튜브;온라인/모바일앱 커뮤니티 (네이버카페 외);지식인;신문/뉴스포털,3,5,4,4,3,주 3~5회,규칙적인 운동;좋은 식습관,3,5~6시간,일주일에 2~3회,하루에 2잔 이상,아니오 (6번으로 이동),,없다,남자,50대,기혼,3~5인 가구,대학원,자영업,월 700만원 이상,
2022/06/07 4:54:52 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민B;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;루테인, 지아잔틴 등 (눈 건강)",예,예,예,피곤할때,퇴근 후,예 (1-1번으로 이동),피로회복을 위해;피부 미용을 위해;건강 유지를 위해,,예,아니오,아니오,아니오,아니오,아니오,3,2,2,3,3,3,원하는 성분과 그 함량;적정 가격,4,2~3만원 미만,4,4,3,4,유튜브;인스타그램;네이버카페;TV시청;라디오 청취;신문/뉴스포털,유튜브;인스타그램,4,4,5,5,4,주 1~2회,"규칙적인 운동;좋은 식습관;비타민, 무기질 등 영양제 섭취",4,6~8시간,전혀 마시지 않는다,하루에 1잔,아니오 (6번으로 이동),,,여자,30대,미혼,3~5인 가구,대학교 졸업,전문직,월 300~400만원 미만,
2022/06/07 4:57:42 오후 GMT+9,예 (1-1번으로 이동),"비타민C;오메가3;루테인, 지아잔틴 등 (눈 건강)",예,아니오,아니오,네,음주 다음날,잘 모르겠음 (2번으로 이동),건강 유지를 위해,,예,예,예,아니오,,아니오,2,3,3,3,3,3,주변의 효과와 경험담 소개,3,3~4만원 미만,3,5,3,3,유튜브,"포털사이트 (구글, 네이버, 다음 등)",3,3,5,5,3,주 1~2회,"규칙적인 운동;비타민, 무기질 등 영양제 섭취;정기적인 건강검진",4,6~8시간,일주일에 2~3회,하루에 2잔 이상,예 (5-1번으로 이동),10~20개비 미만,있다,남자,50대,기혼,2인 가구,대학교 졸업,사무직,월 500~600만원 미만,
2022/06/07 4:59:17 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;비타민B;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;루테인, 지아잔틴 등 (눈 건강)",예,예,예, 노화에 의한 여러가지증상이 생기면서 건강을 많이 챙기게됩니다,평소보다 많은 육체적 또는 정신적 노동을 할때,예 (1-1번으로 이동),피로회복을 위해;일상의 활력 충전을 위해;건강 유지를 위해,,예,아니오,예,예,,,4,3,3,3,1,5,주변의 효과와 경험담 소개;제조사(상표) 신뢰도;적정 가격,4,,4,4,4,2,유튜브;네이버카페;TV시청;라디오 청취;신문/뉴스포털,유튜브;네이버카페;TV시청;라디오 청취;신문/뉴스포털;지인,4,4,5,5,4,주 3~5회,규칙적인 운동;좋은 식습관;정기적인 건강검진,2,6~8시간,한달에 1~2회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,50대,기혼,3~5인 가구,대학교 졸업,주부,월 600~700만원 미만,
2022/06/07 5:00:44 오후 GMT+9,예 (1-1번으로 이동),비타민C;비타민B;오메가3;유산균,예,예,예,공부하다가 체력이 저조하다고 느낄때,수면패턴이 흐트러질때,잘 모르겠음 (2번으로 이동),,,예,예,아니오,아니오,아니오,아니오,3,3,3,3,1,2,제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;적정 가격,1,3~4만원 미만,4,3,3,3,유튜브;인스타그램;페이스북,"인스타그램;페이스북;포털사이트 (구글, 네이버, 다음 등);지인",4,4,4,3,5,한달 1~2회 정도,"규칙적인 생활;비타민, 무기질 등 영양제 섭취",3,6~8시간,한달에 3~4회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 재학,학생,월 100~200만원 미만,
2022/06/07 5:02:03 오후 GMT+9,예 (1-1번으로 이동),비타민B;유산균,예,예,예,피로를 많이 느끼거나 외부 자극에 쉽게 지칠때,,아니오 (1-2번으로 이동),,과거 부작용이 있었다 (이 경우 어떤 부작용이었는지 기타란에 적어주세요);두드러기,예,아니오,아니오,예,예,두드러기,3,5,5,5,2,1,주변의 효과와 경험담 소개;제조사(상표) 신뢰도,1,4~5만원 미만,3,5,5,5,유튜브;인스타그램;온라인/모바일앱 커뮤니티 (네이버카페 외),"포털사이트 (구글, 네이버, 다음 등);온라인/모바일앱 커뮤니티 (네이버카페 외)",5,3,5,5,5,거의 안한다,규칙적인 운동;좋은 식습관,2,6~8시간,한달에 1~2회,일주일에 1~3잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학원,학생,소득 없음,
2022/06/07 5:03:16 오후 GMT+9,예 (1-1번으로 이동),종합비타민,예,예,예,피로를 느낄때,수면부족,예 (1-1번으로 이동),피로회복을 위해,,예,예,예,아니오,예,아니오,5,5,5,4,3,1,주변의 효과와 경험담 소개,3,,3,4,2,3,유튜브;페이스북;네이버카페;TV시청;신문/뉴스포털,유튜브;페이스북;네이버카페;TV시청;신문/뉴스포털,3,4,5,3,3,거의 안한다,특별히 신경쓰지 않는다,3,6~8시간,일주일에 2~3회,하루에 2잔 이상,예 (5-1번으로 이동),10~20개비 미만,없다,남자,60대 이상,기혼,3~5인 가구,대학원,사무직,월 600~700만원 미만,
2022/06/07 5:04:13 오후 GMT+9,예 (1-1번으로 이동),"비타민D;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균",예,아니오,아니오,종합검진후 부족한영양소가 있을때 꼭 챙겨야겠다고 생각이 듭니다,장거리여행후에 많이 피곤합니다.,예 (1-1번으로 이동),피로회복을 위해;불규칙한 식사의 영양소 보충을 위해;건강 유지를 위해,,예,예,예,아니오,아니오,아니오,3,3,2,2,1,2,주변의 효과와 경험담 소개;제조사(상표) 신뢰도,3,2~3만원 미만,3,3,2,3,유튜브;네이버카페;TV시청,"포털사이트 (구글, 네이버, 다음 등);네이버카페;지식인;TV시청;지인",1,1,1,2,2,매일한다,규칙적인 운동;좋은 식습관;정기적인 건강검진,3,6~8시간,전혀 마시지 않는다,하루에 1잔,아니오 (6번으로 이동),,있다,여자,50대,기혼,2인 가구,고졸이하,주부,월 100만원 미만,
2022/06/07 5:09:20 오후 GMT+9,예 (1-1번으로 이동),종합비타민,예,예,예,일상생활 중 체력의 한계를 경험했을때,,잘 모르겠음 (2번으로 이동),,,예,아니오,아니오,아니오,아니오,아니오,2,2,3,2,2,2,"제품의 표지 등에 표시된 제품 정보;제품의 형태(알약, 분말, 액상, 발포형)",4,2~3만원 미만,4,4,4,3,유튜브;인스타그램,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등)",4,4,4,4,4,주 1~2회,규칙적인 운동,4,6~8시간,한달에 1~2회,일주일에 1~3잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 졸업,전문직,월 300~400만원 미만,
